Data,Moto,Tipo,Categoria,Valor,Observação,Ano,Mes,Periodo
2025-09-15,3 - Factor vermelha SGE,Entrada,Aluguel,250.0,,2025,9,2025-09
2025-09-15,3 - Factor vermelha SGE,Entrada,Caução,500.0,Calção,2025,9,2025-09
2025-09-15,3 - Factor vermelha SGE,Saída,Outros,35.0,Cartório,2025,9,2025-09
2025-09-15,2 - Factor 150cc STS,Entrada,Aluguel,300.0,,2025,9,2025-09
2025-09-15,1 - Honda CG preta OYQ,Entrada,Aluguel,230.0,,2025,9,2025-09
2025-09-18,4 - Factor preta SOC,Saída,Seguro,98.9,,2025,9,2025-09
2025-09-18,3 - Factor vermelha SGE,Saída,Seguro,98.9,,2025,9,2025-09
2025-09-18,2 - Factor 150cc STS,Saída,Seguro,85.0,,2025,9,2025-09
2025-09-19,2 - Factor 150cc STS,Saída,Manutenção,30.0,Óleo,2025,9,2025-09
2025-09-22,1 - Honda CG preta OYQ,Saída,Seguro,95.0,,2025,9,2025-09
2025-09-23,3 - Factor vermelha SGE,Entrada,Aluguel,250.0,,2025,9,2025-09
2025-09-28,1 - Honda CG preta OYQ,Entrada,Aluguel,450.0,,2025,9,2025-09
2025-09-28,5 - Yamaha Factor Azul - SOK,Saída,Outros,255.0,Revisão,2025,9,2025-09
2025-09-28,2 - Factor 150cc STS,Saída,Outros,68.88,Vistoria DETRAN,2025,9,2025-09
2025-09-28,5 - Yamaha Factor Azul - SOK,Saída,Outros,68.88,Vistoria DETRAN,2025,9,2025-09
2025-09-29,5 - Yamaha Factor Azul - SOK,Saída,Seguro,130.0,,2025,9,2025-09
2025-09-29,5 - Yamaha Factor Azul - SOK,Saída,Outros,730.0,Protetor de Carenagem,2025,9,2025-09
2025-09-30,4 - Factor preta SOC,Entrada,Aluguel,250.0,,2025,9,2025-09
2025-09-30,3 - Factor vermelha SGE,Entrada,Aluguel,250.0,,2025,9,2025-09
,,,,,,,,<NA>-<NA>
2025-10-02,5 - Yamaha Factor Azul - SOK,Saída,Outros,60.0,Lavagem,2025,10,2025-10
2025-10-02,5 - Yamaha Factor Azul - SOK,Saída,Outros,440.0,Envelopamento,2025,10,2025-10
2025-10-02,5 - Yamaha Factor Azul - SOK,Entrada,Aluguel,250.0,,2025,10,2025-10
2025-10-02,5 - Yamaha Factor Azul - SOK,Entrada,Caução,200.0,Calção,2025,10,2025-10
2025-10-02,3 - Factor vermelha SGE,Saída,Outros,156.86,Vistoria Polícia Civil,2025,10,2025-10
2025-10-03,2 - Factor 150cc STS,Saída,Outros,156.86,Vistoria Polícia Civil,2025,10,2025-10
2025-10-03,5 - Yamaha Factor Azul - SOK,Saída,Outros,32.0,Suporte  Celular,2025,10,2025-10
2025-10-04,2 - Factor 150cc STS,Saída,Outros,260.0,Revisão,2025,10,2025-10
2025-10-06,5 - Yamaha Factor Azul - SOK,Saída,Outros,30.0,Elétrica,2025,10,2025-10
2025-10-07,5 - Yamaha Factor Azul - SOK,Entrada,Caução,50.0,Calção,2025,10,2025-10
2025-10-07,3 - Factor vermelha SGE,Entrada,Aluguel,250.0,,2025,10,2025-10
2025-10-08,4 - Factor preta SOC,Entrada,Aluguel,250.0,,2025,10,2025-10
2025-10-09,1 - Honda CG preta OYQ,Entrada,Aluguel,440.0,,2025,10,2025-10
2025-10-09,6 - Fazer 150 Vermelha SOO,Saída,Outros,68.0,Vistoria,2025,10,2025-10
2025-10-09,6 - Fazer 150 Vermelha SOO,Saída,Outros,450.0,Envelopamento,2025,10,2025-10
2025-10-10,6 - Fazer 150 Vermelha SOO,Saída,Outros,730.0,Protetor de Carenagem,2025,10,2025-10
2025-10-10,6 - Fazer 150 Vermelha SOO,Entrada,Aluguel,250.0,,2025,10,2025-10
2025-10-10,6 - Fazer 150 Vermelha SOO,Entrada,Caução,300.0,Calção,2025,10,2025-10
2025-10-13,2 - Factor 150cc STS,Saída,Outros,280.0,Pneu Dianteiro,2025,10,2025-10
2025-10-13,5 - Yamaha Factor Azul - SOK,Entrada,Aluguel,250.0,,2025,10,2025-10
2025-10-14,3 - Factor vermelha SGE,Entrada,Aluguel,250.0,,2025,10,2025-10
2025-10-15,4 - Factor preta SOC,Entrada,Aluguel,250.0,,2025,10,2025-10
2025-10-17,6 - Fazer 150 Vermelha SOO,Entrada,Aluguel,250.0,,2025,10,2025-10
2025-10-17,7 - Fazer 150 Preta SNO,Saída,Outros,69.0,Vistoria,2025,10,2025-10
2025-10-17,7 - Fazer 150 Preta SNO,Saída,Seguro,150.0,Adesão Seguro,2025,10,2025-10
2025-10-17,8 - Fazer 150 Preta SNP,Saída,Seguro,150.0,Adesão Seguro,2025,10,2025-10
2025-10-18,1 - Honda CG preta OYQ,Entrada,Aluguel,220.0,,2025,10,2025-10
2025-10-20,8 - Fazer 150 Preta SNP,Saída,Outros,69.0,Vistoria,2025,10,2025-10
2025-10-20,5 - Yamaha Factor Azul - SOK,Entrada,Aluguel,300.0,,2025,10,2025-10
2025-10-21,3 - Factor vermelha SGE,Entrada,Aluguel,250.0,,2025,10,2025-10
2025-10-21,8 - Fazer 150 Preta SNP,Saída,Outros,135.0,Transferência DETRAN,2025,10,2025-10
2025-10-21,4 - Factor preta SOC,Entrada,Aluguel,250.0,,2025,10,2025-10
2025-10-21,6 - Fazer 150 Vermelha SOO,Saída,Outros,259.0,Transferência DETRAN/Baixa Gravame,2025,10,2025-10
2025-10-21,7 - Fazer 150 Preta SNO,Saída,Revisão,200.0,,2025,10,2025-10
2025-10-21,8 - Fazer 150 Preta SNP,Saída,Revisão,200.0,,2025,10,2025-10
2025-10-21,2 - Factor 150cc STS,Saída,Outros,450.0,Envelopamemto,2025,10,2025-10
2025-10-23,8 - Fazer 150 Preta SNP,Saída,Outros,450.0,Envelopamento,2025,10,2025-10
2025-10-24,6 - Fazer 150 Vermelha SOO,Entrada,Aluguel,250.0,,2025,10,2025-10
2025-10-25,9 - Fazer 150 Preta SNT,Saída,Outros,150.0,Adesão Seguro,2025,10,2025-10
2025-10-25,9 - Fazer 150 Preta SNT,Saída,Outros,30.0,Instalação Protetor Carenagem,2025,10,2025-10
2025-10-25,9 - Fazer 150 Preta SNT,Saída,Outros,450.0,Envelopamento,2025,10,2025-10
2025-10-27,8 - Fazer 150 Preta SNP,Entrada,Aluguel,250.0,,2025,10,2025-10
2025-10-27,8 - Fazer 150 Preta SNP,Entrada,Caução,500.0,Caução,2025,10,2025-10
2025-10-28,3 - Factor vermelha SGE,Entrada,Aluguel,250.0,,2025,10,2025-10
2025-10-28,7 - Fazer 150 Preta SNO,Saída,Outros,400.0,Envelopamento,2025,10,2025-10
2025-10-28,4 - Factor preta SOC,Entrada,Aluguel,250.0,,2025,10,2025-10
2025-10-30,1 - Honda CG preta OYQ,Entrada,Aluguel,440.0,,2025,10,2025-10
2025-10-30,1 - Honda CG preta OYQ,Saída,Manutenção,130.0,,2025,10,2025-10
2025-10-30,1 - Honda CG preta OYQ,Entrada,Aluguel,220.0,,2025,10,2025-10
2025-10-31,8 - Fazer 150 Preta SNP,Saída,Outros,500.0,Devolução Caução,2025,10,2025-10
2025-10-31,8 - Fazer 150 Preta SNP,Entrada,Aluguel,300.0,250 Aluguel 50 Caução,2025,10,2025-10
2025-10-31,6 - Fazer 150 Vermelha SOO,Entrada,Aluguel,250.0,,2025,10,2025-10
,,,,,,,,<NA>-<NA>
2025-11-03,7 - Fazer 150 Preta SNO,Entrada,Aluguel,300.0,250 Aluguel + 50 Caução,2025,11,2025-11
2025-11-04,6 - Fazer 150 Vermelha SOO,Entrada,Aluguel,250.0,,2025,11,2025-11
2025-11-04,3 - Factor vermelha SGE,Entrada,Aluguel,250.0,,2025,11,2025-11
2025-11-04,5 - Yamaha Factor Azul - SOK,Entrada,Aluguel,500.0,,2025,11,2025-11
2025-11-04,5 - Yamaha Factor Azul - SOK,Saída,Outros,300.0,Caução,2025,11,2025-11
2025-11-04,10 - Fazer 150 Preta SOD,Saída,Outros,150.0,Adesão Seguro,2025,11,2025-11
2025-11-04,10 - Fazer 150 Preta SOD,Saída,Outros,69.0,Vistoria,2025,11,2025-11
2025-11-04,10 - Fazer 150 Preta SOD,Saída,Outros,18.0,Suporte Celular,2025,11,2025-11
2025-11-05,4 - Factor preta SOC,Entrada,Aluguel,250.0,,2025,11,2025-11
2025-11-05,4 - Factor preta SOC,Entrada,Caução,500.0,Caução,2025,11,2025-11
2025-11-05,9 - Fazer 150 Preta SNT,Entrada,Aluguel,300.0,250 Aluguel. 50 Caução,2025,11,2025-11
2025-11-05,10 - Fazer 150 Preta SOD,Saída,Outros,450.0,Envelopamento,2025,11,2025-11
2025-11-06,5 - Yamaha Factor Azul - SOK,Saída,Outros,50.0,Óleo Motor,2025,11,2025-11
2025-11-06,5 - Yamaha Factor Azul - SOK,Saída,Outros,117.14,Vistoria Polícia Civil,2025,11,2025-11
2025-11-06,5 - Yamaha Factor Azul - SOK,Saída,Outros,25.0,Lavagem,2025,11,2025-11
2025-11-06,10 - Fazer 150 Preta SOD,Saída,Outros,750.0,Protetor Carenagem,2025,11,2025-11
2025-11-08,10 - Fazer 150 Preta SOD,Entrada,Caução,500.0,,2025,11,2025-11
2025-11-08,10 - Fazer 150 Preta SOD,Entrada,Aluguel,250.0,Descontado da Caução,2025,11,2025-11
2025-11-10,8 - Fazer 150 Preta SNP,Entrada,Aluguel,300.0,Aluguel 250 Caução 50,2025,11,2025-11
2025-11-10,7 - Fazer 150 Preta SNO,Entrada,Aluguel,300.0,Aluguel 250 Caução 50,2025,11,2025-11
2025-11-10,4 - Factor preta SOC,Entrada,Aluguel,250.0,,2025,11,2025-11
2025-11-10,3 - Factor vermelha SGE,Entrada,Aluguel,250.0,,2025,11,2025-11
2025-11-12,5 - Yamaha Factor Azul - SOK,Saída,Outros,69.0,Vistoria,2025,11,2025-11
2025-11-12,5 - Yamaha Factor Azul - SOK,Saída,Outros,15.0,Cartório,2025,11,2025-11
2025-11-13,1 - Honda CG preta OYQ,Entrada,Aluguel,220.0,,2025,11,2025-11
2025-11-14,9 - Fazer 150 Preta SNT,Entrada,Aluguel,300.0,250 Aluguel  50 Caução,2025,11,2025-11
2025-11-14,7 - Fazer 150 Preta SNO,Saída,Outros,300.0,Pneu Traseiro,2025,11,2025-11
2025-11-14,7 - Fazer 150 Preta SNO,Saída,Outros,35.0,Cabo de Embreagem,2025,11,2025-11
2025-11-14,6 - Fazer 150 Vermelha SOO,Entrada,Aluguel,250.0,,2025,11,2025-11
2025-11-17,7 - Fazer 150 Preta SNO,Entrada,Aluguel,300.0,250 Aluguel 50 Caução,2025,11,2025-11
2025-11-17,4 - Factor preta SOC,Entrada,Aluguel,250.0,,2025,11,2025-11
2025-11-17,8 - Fazer 150 Preta SNP,Entrada,Aluguel,300.0,250 Aluguel 50 Caução,2025,11,2025-11
2025-11-18,3 - Factor vermelha SGE,Entrada,Aluguel,250.0,,2025,11,2025-11
2025-11-19,5 - Yamaha Factor Azul - SOK,Entrada,Aluguel,250.0,,2025,11,2025-11
2025-11-19,2 - Factor 150cc STS,Saída,Outros,69.0,Vistoria  Detran,2025,11,2025-11
2025-11-19,5 - Yamaha Factor Azul - SOK,Entrada,Caução,400.0,,2025,11,2025-11
2025-11-20,1 - Honda CG preta OYQ,Saída,Seguro,78.0,,2025,11,2025-11
2025-11-20,2 - Factor 150cc STS,Saída,Seguro,78.0,,2025,11,2025-11
2025-11-20,3 - Factor vermelha SGE,Saída,Seguro,78.0,,2025,11,2025-11
2025-11-20,4 - Factor preta SOC,Saída,Seguro,78.0,,2025,11,2025-11
2025-11-20,5 - Yamaha Factor Azul - SOK,Saída,Seguro,78.0,,2025,11,2025-11
2025-11-20,6 - Fazer 150 Vermelha SOO,Saída,Seguro,78.0,,2025,11,2025-11
2025-11-20,7 - Fazer 150 Preta SNO,Saída,Seguro,78.0,,2025,11,2025-11
2025-11-20,8 - Fazer 150 Preta SNP,Saída,Seguro,78.0,,2025,11,2025-11
2025-11-20,9 - Fazer 150 Preta SNT,Saída,Seguro,78.0,,2025,11,2025-11
2025-11-20,10 - Fazer 150 Preta SOD,Saída,Seguro,78.0,,2025,11,2025-11
2025-11-21,9 - Fazer 150 Preta SNT,Saída,Outros,69.0,Vistoria  Detran,2025,11,2025-11
2025-11-21,6 - Fazer 150 Vermelha SOO,Entrada,Aluguel,250.0,,2025,11,2025-11
2025-11-23,1 - Honda CG preta OYQ,Entrada,Aluguel,220.0,,2025,11,2025-11
2025-11-23,10 - Fazer 150 Preta SOD,Entrada,Aluguel,250.0,,2025,11,2025-11
2025-11-24,4 - Factor preta SOC,Entrada,Aluguel,250.0,,2025,11,2025-11
2025-11-24,7 - Fazer 150 Preta SNO,Entrada,Aluguel,300.0,250 Aluguel  50 Caução,2025,11,2025-11
2025-11-25,9 - Fazer 150 Preta SNT,Entrada,Aluguel,250.0,,2025,11,2025-11
2025-11-25,9 - Fazer 150 Preta SNT,Entrada,Caução,500.0,,2025,11,2025-11
2025-11-25,3 - Factor vermelha SGE,Entrada,Aluguel,250.0,,2025,11,2025-11
2025-11-26,9 - Fazer 150 Preta SNT,Saída,Outros,259.8,Transferência/Baixa Gravame,2025,11,2025-11
2025-11-26,9 - Fazer 150 Preta SNT,Saída,Manutenção,60.0,Retentor Bengala,2025,11,2025-11
2025-11-26,8 - Fazer 150 Preta SNP,Entrada,Aluguel,300.0,250 Aluguel 50 Caução,2025,11,2025-11
2025-11-27,2 - Factor 150cc STS,Entrada,Aluguel,250.0,,2025,11,2025-11
2025-11-27,2 - Factor 150cc STS,Entrada,Caução,500.0,,2025,11,2025-11
2025-11-29,6 - Fazer 150 Vermelha SOO,Entrada,Aluguel,250.0,,2025,11,2025-11
2025-11-30,10 - Fazer 150 Preta SOD,Entrada,Aluguel,250.0,,2025,11,2025-11
,Escolha a moto,Saída,,,,,,<NA>-<NA>
2025-12-01,7 - Fazer 150 Preta SNO,Saída,Manutenção,202.0,"Tração, Patin Freio, Embuchameto, Pastilha de Freio",2025,12,2025-12
2025-12-01,7 - Fazer 150 Preta SNO,Entrada,Aluguel,300.0,Aluguel 250 Caução 50,2025,12,2025-12
2025-12-01,4 - Factor preta SOC,Entrada,Aluguel,250.0,,2025,12,2025-12
2025-12-02,3 - Factor vermelha SGE,Entrada,Aluguel,250.0,,2025,12,2025-12
2025-12-02,8 - Fazer 150 Preta SNP,Entrada,Aluguel,300.0,Aluguel 250 Caução 50,2025,12,2025-12
2025-12-04,2 - Factor 150cc STS,Entrada,Aluguel,250.0,,2025,12,2025-12
2025-12-04,9 - Fazer 150 Preta SNT,Saída,Manutenção,68.0,Pastilha de Freio / Patim de Freio,2025,12,2025-12
2025-12-06,9 - Fazer 150 Preta SNT,Entrada,Aluguel,250.0,,2025,12,2025-12
2025-12-06,6 - Fazer 150 Vermelha SOO,Entrada,Aluguel,250.0,,2025,12,2025-12
2025-12-07,10 - Fazer 150 Preta SOD,Entrada,Aluguel,250.0,,2025,12,2025-12
2025-12-07,1 - Honda CG preta OYQ,Entrada,Aluguel,440.0,,2025,12,2025-12
2025-12-08,4 - Factor preta SOC,Entrada,Aluguel,250.0,,2025,12,2025-12
2025-12-08,7 - Fazer 150 Preta SNO,Entrada,Aluguel,300.0,250 Aluguel 50 Caução,2025,12,2025-12
2025-12-08,5 - Yamaha Factor Azul - SOK,Entrada,Aluguel,250.0,,2025,12,2025-12
2025-12-09,3 - Factor vermelha SGE,Entrada,Aluguel,250.0,,2025,12,2025-12
2025-12-10,8 - Fazer 150 Preta SNP,Entrada,Aluguel,250.0,,2025,12,2025-12
2025-12-11,3 - Factor vermelha SGE,Entrada,Aluguel,250.0,,2025,12,2025-12
2025-12-11,3 - Factor vermelha SGE,Entrada,Caução,500.0,,2025,12,2025-12
2025-12-11,8 - Fazer 150 Preta SNP,Entrada,Aluguel,250.0,,2025,12,2025-12
